,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
215,Sisophon,KH,13.5859,102.9737,81.54,78,99,5.86,overcast clouds,2022-05-17 10:55:54
216,Saint-Pierre,RE,-21.3393,55.4781,78.91,65,75,23.02,broken clouds,2022-05-17 10:55:55
217,Kitangari,TZ,-10.65,39.3333,81.45,47,18,6.46,few clouds,2022-05-17 10:55:55
218,Kahului,US,20.8947,-156.47,73.85,87,33,1.01,scattered clouds,2022-05-17 10:55:56
219,Christchurch,NZ,-43.5333,172.6333,52.0,90,75,3.44,broken clouds,2022-05-17 10:52:13
220,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,75,28.77,broken clouds,2022-05-17 10:55:56
221,Seoul,KR,37.5683,126.9778,73.0,52,0,9.22,clear sky,2022-05-17 10:55:56
222,Alekseyevsk,RU,57.8406,108.3492,56.93,77,100,4.29,overcast clouds,2022-05-17 10:55:57
223,Inirida,CO,3.8653,-67.9239,72.54,99,100,1.81,overcast clouds,2022-05-17 10:55:57
224,Alta Gracia,AR,-31.6529,-64.4283,40.53,57,0,4.0,clear sky,2022-05-17 10:55:57
225,Vieste,IT,41.8825,16.175,72.07,71,53,6.33,broken clouds,2022-05-17 10:55:58
226,Suicheng,CN,33.8963,117.9331,75.97,28,6,12.5,clear sky,2022-05-17 10:55:58
227,Tarnos,FR,43.5417,-1.4628,85.68,44,0,8.05,clear sky,2022-05-17 10:55:58
228,Kavieng,PG,-2.5744,150.7967,82.58,76,26,7.56,scattered clouds,2022-05-17 10:56:59
229,Salalah,OM,17.0151,54.0924,87.6,57,3,10.31,clear sky,2022-05-17 10:56:59
230,Saint-Francois,FR,46.4154,3.9054,81.68,53,0,6.91,clear sky,2022-05-17 10:56:59
231,Kupang,ID,-10.1667,123.5833,79.84,75,24,7.76,few clouds,2022-05-17 10:57:00
232,Hualmay,PE,-11.0964,-77.6139,62.17,90,97,2.82,overcast clouds,2022-05-17 10:57:00
233,Doha,QA,25.2867,51.5333,102.18,13,0,19.57,dust,2022-05-17 10:57:00
234,Itarema,BR,-2.9248,-39.9167,80.13,84,61,10.31,broken clouds,2022-05-17 10:57:01
235,Mananjary,MG,-21.2167,48.3333,72.45,78,97,9.84,light rain,2022-05-17 10:57:01
